PLATFORM_CODE;TECH_PARAMETER_ID;DIM_LEVEL;PARAMETER_VALUE
6903186;429;1;n/a
6903187;429;1;n/a
6903181;429;1;n/a
6902837;429;1;VSF 2018
6902615;429;1;M116-1
4901423;429;1;MSM 43
6902656;429;1;VSF 2015
6903193;429;1;n/a
6903195;429;1;n/a
6903194;429;1;n/a
6903191;429;1;n/a
3902135;429;1;SO259-3
3901865;429;1;NARVAL_Leg3
6901239;429;1;RAPROCAN
6903069;429;1;BOUSSOLE
6903700;429;1;Combine2
6902810;429;1;RREX
3901922;429;1;GOUGH
6902811;429;1;RREX
3901625;429;1;MSM64
6902807;429;1;RREX
6904099;429;1;SO280
6902708;429;1;RREX-BOCATS
6903243;429;1;Eastern Mediterranean Sea
7900518;429;1;MSM82_2
7900503;429;1;MSM60-2
6902765;429;1;PROTEVSMED2017
6902764;429;1;PROTEVSMED2017
7900504;429;1;MSM60-2
7900505;429;1;MSM60-2
6900760;429;1;RADPROF0810
6900784;429;1;RADPROF0810
3901627;429;1;MSM64
6902767;429;1;PROTEVSMED2017
3901626;429;1;MSM64
6903244;429;1;Eastern Mediterranean Sea
6903019;429;1;PERLE 3
6902829;429;1;ARCTICNET AN17
4901804;429;1;ARCTICNET AN17
6903235;429;1;Ionian Sea
6903202;429;1;n/a
6902669;429;1;ARCTICNET AN17
7900516;429;1;PS117
3901978;429;1;ADRIATIC
3901644;429;1;PS117
6901254;429;1;RAPROCAN1810
7900510;429;1;PS117
3901910;429;1;AREX2017
6902833;429;1;VSF 2018 - LONGUE ROUTE
6902720;429;1;PIRATA FR27
6902721;429;1;PIRATA FR27
7900521;429;1;MSM82_2
6902799;429;1;PIRATA FR27
6902719;429;1;PIRATA FR27
6903093;429;1;SR2011
6903094;429;1;SR2011
6902798;429;1;PIRATA FR27
6902819;429;1;RREX
6903703;429;1;Combine2_2020
3901624;429;1;MSM62
6902880;429;1;Moby Dick
6902804;429;1;MOOSE
6900995;429;1;ICE-CTD
6900580;429;1;Transit Reykjavic
6900559;429;1;RHEIN
5903118;429;1;PNBOIA VI
3900793;429;1;Crucero Pelagicos1011-12
3901091;429;1;JR282
6900705;429;1;ANT-XXVII/1
6900701;429;1;ANT-XXVII/1
6900536;429;1;EGV Bonn
6900566;429;1;n/a
6900710;429;1;SAMOC
6900581;429;1;Transit Reykjavic
4901422;429;1;MSM 43
6900560;429;1;RHEIN
6900561;429;1;RHEIN
6900562;429;1;RHEIN
3901862;429;1;NARVAL_Leg3
6900557;429;1;n/a
6900558;429;1;n/a
6901493;429;1;n/a
3900794;429;1;Crucero Pelagicos1011-12
3902104;429;1;BALTIC
6900578;429;1;Transit Reykjavic
6900955;429;1;n/a
6900579;429;1;Transit Reykjavic
6900929;429;1;KEOPS II
4901426;429;1;n/a
6900556;429;1;n/a
6900571;429;1;MSM10/1
6900572;429;1;MSM10/1
6901483;429;1;n/a
6902784;429;1;NARVAL
6902735;429;1;SoCLIM
5903126;429;1;PNBOIA VI
6900911;429;1;TV_ARVOR
6902801;429;1;RREX
6901840;429;1;n/a
6901503;429;1;AMOP
6900568;429;1;OC449-02
6900567;429;1;n/a
5902268;429;1;SAMOC
6900569;429;1;OC449-02
6900570;429;1;OC449-02
3901662;429;1;MSM73
6900798;429;1;Aegir-GEO
6900799;429;1;IBEX - Inter Basin Exchange
6901242;429;1;SOCIB
6900862;429;1;342
6902649;429;1;MSM53
3901085;429;1;NOV, 2010
3901086;429;1;NOV, 2010
5902300;429;1;OVIDE
5902299;429;1;OVIDE
5902308;429;1;OVIDE
5902298;429;1;OVIDE
6900988;429;1;PIRATA FR22
6901223;429;1;n/a
6901086;429;1;P418-2
6902608;429;1;M116-1
6901909;429;1;n/a
6900921;429;1;KEOPS II
5902302;429;1;OVIDE
5902297;429;1;OVIDE
6901459;429;1;AMOP
6901222;429;1;n/a
6900839;429;1;n/a
6900743;429;1;BEAGLE
6901087;429;1;P418-2
6900829;429;1;M82-2
6900830;429;1;M82/2
6900831;429;1;M82/2
5902303;429;1;OVIDE
6902652;429;1;PIRATA FR26
5902304;429;1;OVIDE
6900925;429;1;n/a
6901022;429;1;CATARINA
6901052;429;1;342
6900907;429;1;BIFURCATION-01
6901053;429;1;342
6901054;429;1;342
6902756;429;1;RREX
6901064;429;1;85/1
3901610;429;1;JRsouth
6900904;429;1;Pandora
6900905;429;1;Pandora
6900960;429;1;Pandora
6902612;429;1;M116-1
6900900;429;1;n/a
6902714;429;1;OPPORTUNITY (SAIL) VSF
6901633;429;1;SHACKELTON
6901029;429;1;catarina
6903023;429;1;n/a
6900906;429;1;BIFURCATION-01
6901442;429;1;COLI-1207
6901063;429;1;85/1
6901407;429;1;Race for water Lorient New York
6901065;429;1;85/1
6901066;429;1;85/1
6901067;429;1;85/1
6901068;429;1;85/1
6901069;429;1;85/1
6901739;429;1;OMM-III
6901962;429;1;n/a
5902295;429;1;Pandora
7900973;429;1;PS124
1901188;429;1;PANDORA
6903278;429;1;Poseidon
6901961;429;1;n/a
6901044;429;1;n/a
6900968;429;1;SOJANA - Azores to Gibraltar
6901817;429;1;ULYSSE
6901855;429;1;n/a
6901857;429;1;n/a
6901738;429;1;OMM-III
6900965;429;1;CATARINA
6900897;429;1;ICECTD021
6901847;429;1;P468
6900497;429;1;GMMC OVIDE 2008
6900498;429;1;GMMC OVIDE 2008
3900995;429;1;GMMC DRAKE
1901469;429;1;n/a
1900276;429;1;ARGO SPAIN
1900277;429;1;ARGO SPAIN
6900957;429;1;TV_ARVOR
6900903;429;1;n/a
6900910;429;1;Race for water Lorient New York
6902766;429;1;TRANSIT TLN-PAP
6900926;429;1;PIRATA FR21
3901679;429;1;PS116
5902294;429;1;MOCOSED-SEDIMAFO
6900663;429;1;OPP BOUM
1901192;429;1;TV_ARVOR
6902553;429;1;471
5902315;429;1;MOCOSED-SEDIMAFO
6900936;429;1;SAMOC
1901204;429;1;CORYMBE
1901171;429;1;GMMC TRACK
