PLATFORM_CODE;TECH_PARAMETER_ID;DIM_LEVEL;PARAMETER_VALUE
6903093;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR SIZE SPECTRUM MEASUREMENT
6902968;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR SIZE SPECTRUM MEASUREMENT
6903095;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR SIZE SPECTRUM MEASUREMENT
6903096;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR SIZE SPECTRUM MEASUREMENT
4902602;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR RADIOMETRIC MEASUREMENT OF PAR
6903706;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR HYPERSPECTRAL RADIOMETRIC MEASUREMENT
6903125;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR RADIOMETRIC MEASUREMENT OF PAR. THIS FLOAT HAS AUXILIARY SENSORS FOR SIZE SPECTRUM MEASUREMENT
6903126;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR RADIOMETRIC MEASUREMENT OF PAR
6903124;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR HYPERSPECTRAL RADIOMETRIC MEASUREMENT
6903127;1254;1;THIS FLOAT HAS AUXILIARY SENSORS FOR RADIOMETRIC MEASUREMENT OF PAR
