CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
PM0;Number of cycles;Number of cycles performed by the float before turning itself into the Life Expiry mode (End Of Life mode). Set it to 255 if you don't plan to recover the float and you what it to cycle until exhaustion of its batteries.;CONFIG_MaxCycles_NUMBER;Applies to PROVOR and ARVOR floats, profiler configuration - Number of cycles before float turns itself off, goes into end of life mode, or into recovery mode
PM1;Cycle period;Total duration of a cycle (descent, submerged drift, ascent and transmission) (in days).;CONFIG_CycleTime_days;For APEX and ARVOR floats this is the total duration of one cycle, usually 240 hours (10 days). For SOLO floats this is the total duration of one cycle, assuming that all float operations reach their full time-out intervals before moving to the next float stage. Typically the actual cycle time will be shorter than this value.
PM2;Reference day;Float internal day number when the first ascending profile has to be made (in float day).;CONFIG_FloatReferenceDay_FloatDay;Profiler configuration - Reference day, for PROVOR and ARVOR floats this is: The day number on which the first profile is to be made. The day when the mission starts is zero.
PM3;Ascent time;Hour in the day to start the ascent profile (HH).;CONFIG_ClockAscentStart_HH;Preset time to start ascent profile, if units = MINUTES (in minutes past midnight), if units = HH (24 hour clock)
PM4;Delay before mission;Delay between the float start up and the beginning of the first descent (in minutes).;CONFIG_DelayBeforeMissionStart_minutes;Float waiting period before the first cycle of its mission (in minutes).
PM5;Descent sampling period;Sampling CTD period during the descent to parking depth. If set to 0, no descending profile is performed (except for the first cycle) (in seconds).;CONFIG_DescentToParkPresSamplingTime_seconds;Sampling period during the descent to parking pressure (in seconds).
PM6;Drift sampling period;Sampling CTD period during the drift phase at parking depth. If set to 0, no measurement is performed during the drift phase at parking depth (in hours).;CONFIG_ParkSamplingPeriod_hours;specifies sampling period during the park phase, e.g. for APEX floats could be hourly or for ARVOR floats 12 hourly, for SOLO/SOLOII floats this definition is: P,T,S is sampled during drift (park) every CONFIG_ParkSamplingPeriod_hours, e.g. every 2 hours.
PM7;Ascent sampling period;Sampling CTD period during the ascent to surface. If set to 0, no ascending profile is performed (in seconds).;CONFIG_AscentSamplingPeriod_seconds;Sampling period during the ascending profile (in seconds).
PM8;Drift depth;Parking pressure (in dbar).;CONFIG_ParkPressure_dbar;park pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
PM9;Profile depth;Profile pressure (in dbar).;CONFIG_ProfilePressure_dbar;profile pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
PM10;Delay before profile;Maximum time allowed to the float to dive from parking to profile depth (in hours).;CONFIG_DescentToProfTimeOut_hours;maximum amount of time allowed for the float to descend to Profile pressure from Park pressure
PM11;Threshold surface/bottom pressure;Isobar that divides shallow depths from deep depths for the purpose of data reduction (in dbar).;CONFIG_PressureThresholdDataReduction_dbar;The isobar that divides shallow depths from deep depths for the purpose of data reduction (in dbars). For floats with 2 depth zones.
