CONF_PARAM_DEC_ID;CONF_PARAM_TYPE;CONF_PARAM_MSG_LABEL;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
100;CONFIG_AUX;Script de description de la mission;CONFIG_AUX_MissionDescription_STRING;The CTS5 float mission is defined by a concatenation of elementary steps (see float manual for details).
101;CONFIG_AUX;Profondeur de détail du journal des événements;CONFIG_AUX_EventLoggerDescriptionLevel_NUMBER;Level of events stored in the associated log file ([0-3]).
102;CONFIG_AUX;Séparateurs décimal et colonne pour les fichiers de données (csv);CONFIG_AUX_OutputCsvConfiguration_STRING;The CTD can be transmitted in a CSV file. The first character of this parameter defines the decimal character to use, the second character defines the column separator to use.
300;META_AUX;Adresse IP du flotteur lors d’une connexion locale par le lien Bluetooth;META_AUX_FLOAT_IP_ADDRESS;IP address of the float for a bluetooth connection.
103;CONFIG_AUX;Liste des tâches du système;CONFIG_AUX_SystemTaskList_STRING;List of tasks considered by the float (see float manual for details).
104;CONFIG_AUX;Activation/désactivation des fichiers traces « utilisateur »;CONFIG_AUX_EnableUserLog_LOGICAL;Enable/disable user log file generation and transmission.
105;CONFIG_AUX;Activation/désactivation des fichiers traces « système »;CONFIG_AUX_EnableSystemLog_LOGICAL;Enable/disable system log file generation and transmission.
106;CONFIG;Activation/désactivation de l’autotest complet;CONFIG_TelemetryAutoTestAtDeployment_LOGICAL;Perform a full auto-test (RUDICS server connection test) at float deployment (Yes=1/No=0).A full auto-test includes a connection test on the RUDICS server and a GPS fix acquisition.
107;CONFIG_AUX;Critère de risque associé à la rétroaction;CONFIG_AUX_FeedbackRiskLevel_NUMBER;Set the feedback risk level used to decide if a feedback, raised by the sensor board, should be accepted by the vector board (number between 0: lowest risk and 4:highest risk) (see float manual for details).
108;CONFIG_AUX;Récupération de flottabilité maximum;CONFIG_AUX_EnableHeavyFloatAlarm_LOGICAL;Enable/disable heavy float alarm. Heavy float alarm should be disabled if a 'heavy float deployment' is wanted.
109;CONFIG;Offset de pression externe après surface effective uniquement;CONFIG_PressureOffsetSampledAfterTransmission_LOGICAL;The surface pressure offset is sampled only if an Iridium transmission or a GPS session occured (to be sure that the pressure offset is sampled at the surface). Original proposed names was: CONFIG_SecuredPressureOffsetSampledAtSurface_LOGICAL
110;CONFIG_AUX;Format d’horodatage pour les fichiers de données (*.csv);CONFIG_AUX_OutputCsvDatetimeFormat_NUMBER;The CTD can be transmitted in a CSV file. This parameter is used to set the format of the measurement times (0: seconds elapsed since 01/01/1900, 1: Excel format, 2: Unix format, 3: Mac format).
111;CONFIG_AUX;Carte mémoire additionnelle obligatoire pour la mission;CONFIG_AUX_RequestedMemoryCard_LOGICAL;An additional memory card is requested for some missions (ex: under-ice mission). This parameter is designed to fail the autotest if the requested additional memory card is not present.
112;CONFIG;Seuil de vitesse en descente pour action EV (cm/s);CONFIG_DescentSpeedMin_cm/s;Float minimum descent speed before activating the valve.
113;CONFIG;Seuil de vitesse en remontée pour action pompe (cm/s);CONFIG_AscentSpeedMin_cm/s;Float minimum ascent speed before activating the pump.
114;CONFIG;Vitesse de descente typique (cm/s);CONFIG_DescentSpeed_cm/s;Descent speed during downcast (can be used to estimate the time to descent from parking pressure to profile pressure)
115;CONFIG;Vitesse de remontée typique (cm/s);CONFIG_AscentSpeed_cm/s;ascent speed during upcast (can be used to estimate the profile duration). 
116;CONFIG;Tolérance de positionnement en descente (dbar);CONFIG_PressureTargetToleranceForStabilisation_dbar;Defines the target pressure interval for float stabilisation at parking or profile depth (in dbars).
117;CONFIG;Tolérance de positionnement en remontée (dbar);CONFIG_PressureTargetToleranceForStabilisationDuringAscent_dbar;Defines the target pressure interval for float stabilisation during ascent at a prescribed depth. The prescibed depth could be the PRES threshold to start low ascent (but I think this should not be in the definition which should stay more generic).
118;CONFIG;Tolérance de positionnement en dérive (dbar);CONFIG_PressureTargetToleranceDuringDrift_dbar;Defines the target pressure interval for float drift at parking or profile depth (in dbars).
119;CONFIG;Tolérance de repositionnement en dérive (dbar);CONFIG_PressureTargetToleranceBeforeReposition_dbar;Defines the target pressure interval before performing a buoyancy readjustment to reposition during the drift at parking depth. When a PRES measurement (sampled to monitor the float drift at parking depth) is outside the [parking_pressure +- CONFIG_PressureTargetToleranceBeforeReposition_dbar] interval, the float adjust its buoyancy.
120;CONFIG;Période de surveillance de pression en descente (sec);CONFIG_PressureCheckTimeDescent_seconds;Period of the pressure checks during the float descent (after CONFIG_BuoyancyReductionSecondThreshold_dbar).
121;CONFIG;Période de surveillance de pression en remontée (sec);CONFIG_PressureCheckTimeAscent_seconds;Period of the pressure checks during the float ascent to surface.
122;CONFIG;Période de surveillance de pression en dérive (sec);CONFIG_PressureCheckTimeParking_seconds;Period of the pressure checks during the float drift at park or profile depth.
123;CONFIG;Volume maximum d’une action EV en descente/repositionnement (cm3);CONFIG_OilVolumeMaxPerValveAction_cm^3;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMaxPerValveAction_cm^3 is converted to a maxDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a huge valve action duration and the result must be thresholded by maxDurationOfValveAction.
124;CONFIG;Volume maximum d’une action pompe en repositionnement (cm3);CONFIG_OilVolumeMaxPerPumpActionReposition_cm^3;This information is used as a threshold for the pump action duration for reposition in the parking drift interval. The pump flow is known for each float and CONFIG_OilVolumeMaxPerPumpActionReposition_cm^3 is converted to a maxDurationOfPumpActionReposition.  When a reposition should be performed, the float computes the needed pump action duration. In some specific cases the result can be a huge pump action duration and the result must be thresholded by maxDurationOfPumpActionReposition.
125;CONFIG;Seuil 1 de réduction d’émergence (dbar);CONFIG_BuoyancyReductionFirstThreshold_dbar;First threshold of the buoyancy reduction phase (see float manual for explanations).
126;CONFIG;Seuil 2 de réduction d’émergence (dbar);CONFIG_BuoyancyReductionSecondThreshold_dbar;Second threshold of the buoyancy reduction phase  (see float manual for explanations).
127;CONFIG;Volume forfaitaire d’une action pompe en remontée (cm3);CONFIG_OilVolumePerPumpActionAscent_cm^3;Nominal oil volume of each pump action during ascent.
128;CONFIG;Volume forfaitaire d’une action pompe en freinage (cm3);CONFIG_OilVolumePerPumpActionDescent_cm^3;Nominal oil volume of each pump action during descent (when the float brakes because of a too fast descent speed).
129;CONFIG;Temps d’activation EV durant la phase 2 de réduction d’émergence (csec);CONFIG_ValveTimeActionBuoyancyReduction_csec;Duration of the valve actions during the second phase of the buoyancy reduction (between CONFIG_BuoyancyReductionFirstThreshold_dbar and CONFIG_BuoyancyReductionSecondThreshold_dbar).
130;CONFIG;Facteur d’activation EV durant la phase 2 de réduction d’émergence;CONFIG_ValveActionPeriodFactorBuoyancyReduction_NUMBER;Define the period of valve actions during the second phase of the buoyancy reduction (between CONFIG_BuoyancyReductionFirstThreshold_dbar and CONFIG_BuoyancyReductionSecondThreshold_dbar). The valve is open during CONFIG_ValveTimeActionBuoyancyReduction_csec each CONFIG_ValveTimeActionBuoyancyReduction_csec*CONFIG_ValveActionPeriodFactorBuoyancyReduction_NUMBER.
131;CONFIG;Volume forfaitaire d’émergence (cm3);CONFIG_OilVolumeLastPumpActionBuoyancyAcquisition_cm^3;Volume of the last pump action of the buoyancy acquisition phase. Original proposed name was: CONFIG_PumpActionOilVolumeBuoyancyAcquisition_cm^3
132;CONFIG;Seuil de détection de fin de remontée (dbar);CONFIG_AscentEndThreshold_dbar;Threshold used by the float to stop ascent speed control and pump actions.
133;CONFIG;Puissance du ralentissement à la remontée (0=aucun, 1=faible, 5=fort);CONFIG_AscentSpeedFactor_NUMBER;This factor defines the speed of the ascent phase (between 0: nominal speed and 5: lowest speed).
134;CONFIG;Puissance du freinage en abandon de remontée (multiplie P15);CONFIG_ProfileEvasionBrakingFactor_NUMBER;This factor defines the oil volume transferred from the external bladder when a profile evasion occurs and the float has to brake. The transferred oil volume is CONFIG_ProfileEvasionAscentSpeedFactor_NUMBER times the oil volume of the last pump action.
135;CONFIG;Profondeur de dérive « parking » (dbar);CONFIG_ParkPressure_dbar;park pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
136;CONFIG;Profondeur de dérive « mesure » (dbar);CONFIG_ProfilePressure_dbar;profile pressure - this may change if the float is reprogrammed and must be reported in the mission configuration settings
137;CONFIG;Durée du motif (sec);CONFIG_CycleTime_seconds;For APEX and ARVOR floats this is the total duration of one cycle, usually 240 hours (10 days). For SOLO floats this is the total duration of one cycle, assuming that all float operations reach their full time-out intervals before moving to the next float stage. Typically the actual cycle time will be shorter than this value.
138;CONFIG;Heure de présence en surface;CONFIG_SurfaceTime_seconds;Time of day of float surfacing - could be hour of the float surfacing or could be stored as seconds when set as hh:mm:ss (e.g. for PROVOR CTS5)
139;CONFIG;Activation/désactivation de la prise de position GPS;CONFIG_GPSAcquisitionEndCycle_LOGICAL;The float performs a GPS session to acquire a GPS fix at the end of the cycle (Yes=1/No=0).
140;CONFIG;Activation/désactivation d’une session de transmission;CONFIG_TransmissionEndCycle_LOGICAL;The float performs a telemetry transmission at the end of the cycle (Yes=1/No=0).
141;CONFIG_AUX;Seuil de détection de tension batterie faible (V);CONFIG_AUX_LowBatteryNoLoadAlarmThreshold_volts;"Min threshold of battery level before raising a ""low battery no load"" alarm."
142;CONFIG_AUX;Seuil de détection de pression interne forte (mbar);CONFIG_AUX_HighInternalPressureAlarmThreshold_mbar;"Max threshold of internal pressure level before raising a ""high internal pressure"" alarm."
143;CONFIG_AUX;Seuil de détection de sauts de pression externe incohérents (cm/s);CONFIG_AUX_HighAccelerationAlarmThreshold_cm/s;"Max threshold of vertical speed level before raising a ""External pressure sensor failure"" alarm."
144;CONFIG_AUX;Seuil de détection de pression externe faible (dbar);CONFIG_AUX_LowExternalPressureAlarmThreshold_dbar;"Min threshold of external pressure before raising a ""Low external pressure"" alarm."
145;CONFIG_AUX;Seuil de détection de pression externe forte / pression limite (dbar);CONFIG_AUX_HighExternalPressureAlarmThreshold_dbar;"Max threshold of external pressure before raising a ""High external pressure"" alarm."
146;CONFIG_AUX;Détection de capteur de pression externe cassé (erreurs successives);CONFIG_AUX_MaxExternalPressureErrorAlarmThreshold_NUMBER;"Max number of successive errors from the external pressure sensor before raising a ""External pressure sensor failure"" alarm."
147;CONFIG;Seuil de détection d’échouage à la descente (cm3);CONFIG_OilVolumeMinForGroundingDetection_cm^3;This information is a threshold used to detect a grounding of the float. If there is no vertical motion after having tranferred CONFIG_OilVolumeMinForGroundingDetection_cm^3 through the valve, the gounded flag is activated and the float acts as configurated by the CONFIG_GroundingMode_LOGICAL parameter.So, yes it is a configuration parameter (and I can easily understand that it can be modified via remote control since some PROVOR floats have experienced erroneous grounding detection (under study but perhaps due to in-situ conditions).
148;CONFIG_AUX;Seuil de détection d’accrochage à la remontée (cm3);CONFIG_AUX_OilVolumeMinForHangingDetection_cm^3;This information is a threshold used to detect a hanging of the float. If there is no ascent vertical motion after having tranferred CONFIG_OilVolumeMinForHangingDetection_cm^3 through the pump the hanged alarm is activated.
149;CONFIG_AUX;Seuil de détection de vitesse de descente élevée (freinage);CONFIG_AUX_HighDescentSpeedAlarmThreshold_cm/s;"Max threshold of descent speed before raising a ""braking"" alarm."
150;CONFIG_AUX;Seuil de détection de tension batterie (min. sur pompe) faible (V);CONFIG_AUX_LowBatteryLoadAlarmThreshold_volts;"Min threshold of battery level before raising a ""low battery load"" alarm."
151;CONFIG_AUX;Durée de temporisation en surface étape « SA » avant boucle (sec);CONFIG_AUX_SurfaceTimeDelayBeforeLoop_seconds;Surface temporization (step 'SA' of the mission) before loops ([0-86400 (24 h)]) (see float manual for details).
152;CONFIG_AUX;Durée de temporisation en surface étape « SA » dans boucle « motif » (sec);CONFIG_AUX_SurfaceTimeDelayInPatternLoop_seconds;Surface temporization (step 'SA' of the mission) during pattern loops ([0-7200 (2 h)]) (see float manual for details).
153;CONFIG_AUX;Durée de temporisation en surface étape « SA » dans boucle « cycle » (sec);CONFIG_AUX_SurfaceTimeDelayInCycleLoop_seconds;Surface temporization (step 'SA' of the mission) during cycle loops ([0-7200 (2 h)]) (see float manual for details).
154;CONFIG_AUX;Durée de temporisation pour test (étape « TC ») (sec);CONFIG_AUX_TestTimeDelay_seconds;Test temporization (step 'TC' of the mission) ([0-600 (10 min)]) (see float manual for details).
