CONF_PARAM_DEC_ID;CONF_PARAM_MSG_ID;CONF_PARAM_MSG_LABEL;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
200;254;Maximum duration of the additional valve actions performed at the surface during the buoyancy reduction phase (in centi-seconds).;CONFIG_SurfaceValveMaxTimeAdditionalActions_csec;Maximum duration of the additional valve actions performed at the surface during the buoyancy reduction phase (in centi-seconds).
201;254;Target number of additional valve actions performed at the surface during the buoyancy reduction phase.;CONFIG_SurfaceValveAdditionalActions_COUNT;Target number of additional valve actions performed at the surface during the buoyancy reduction phase.
202;254;Time delay after each valve action before checking the pressure during the buoyancy reduction phase (in seconds).;CONFIG_PressureCheckTimeBuoyancyReductionPhase_seconds;Time delay after each valve action before checking the pressure during the buoyancy reduction phase (in seconds).
203;254;Period of the pressure checks during the float ascent to surface (in minutes).;CONFIG_PressureCheckTimeAscent_minutes;Period of the pressure checks during the float ascent to surface (in minutes).
204;254;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMaxPerValveAction_cm^3 is converted to a maxDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a huge valve action duration and the result must be thresholded by maxDurationOfValveAction. So yes, this information is a configuration parameter (and for Remocean float it can be modified via remote controls, but of course by specialist in PROVOR vector configuration).;CONFIG_OilVolumeMaxPerValveAction_cm^3;This information is used as a threshold for the valve action durations. The valve flow is known for each float and CONFIG_OilVolumeMaxPerValveAction_cm^3 is converted to a maxDurationOfValveAction.  During descent phases the float regularly computes a valve duration to sink to the target depth. In some specific cases the result can be a huge valve action duration and the result must be thresholded by maxDurationOfValveAction. So yes, this information is a configuration parameter (and for Remocean float it can be modified via remote controls, but of course by specialist in PROVOR vector configuration).
205;254;Maximum duration of the pump action for a drift readjustment (in centi-seconds).;CONFIG_PumpActionMaxTimeReposition_csec;Maximum duration of the pump action for a drift readjustment (in centi-seconds).
206;254;Maximum duration of a pump action during ascent (in centi-seconds).;CONFIG_PumpActionMaxTimeAscent_csec;Maximum duration of a pump action during ascent (in centi-seconds).
207;254;Duration of the last pump action of the buoyancy acquisition phase (in centi-seconds).;CONFIG_PumpActionTimeBuoyancyAcquisition_csec;Duration of the last pump action of the buoyancy acquisition phase (in centi-seconds).
208;254;Defines the target pressure interval for float stabilisation at parking or profile depth (in dbars).;CONFIG_PressureTargetToleranceForStabilisation_dbar;Defines the target pressure interval for float stabilisation at parking or profile depth (in dbars).
209;254;Emergency ascent phase start pressure (in dbars).;CONFIG_PressureMaxBeforeEmergencyAscent_dbar;Emergency ascent phase start pressure (in dbars).
